geom,value,id
POINT(-1.2829356386 51.8152050628),367500,579663
POINT(-1.450415357 51.922616214),835000,584799
POINT(-1.1601879634 51.898137769),255000,585185
POINT(-0.9672558872 51.7431008518),820000,595926
POINT(-0.9690887704 51.4653887117),810000,607739
POINT(-1.3482343498 52.0671643063),179525,610046
POINT(-1.4782625242 51.86982121),427500,624489
POINT(-1.3480352103 51.8488601895),535000,637279
POINT(-0.9752371849 51.4691834092),720000,642643
POINT(-1.257479898 51.7425047149),720000,643651
POINT(-1.2391616682 51.7673028979),505000,645303
POINT(-1.2974146436 51.6619705343),362000,654959
POINT(-1.2215995923 51.733470085),529250,655435
POINT(-1.2662899028 51.783407962),1398000,659008
POINT(-1.5850228517 51.7679529922),268000,660141
POINT(-1.3558184095 52.0784357704),367500,660810
POINT(-0.9004324088 51.5302178631),625000,679077
POINT(-0.90967973 51.5420116161),442500,679078
POINT(-1.3380295078 52.0568128597),177000,680607
POINT(-1.2758587981 52.1097545237),438000,681136
POINT(-1.1303112966 51.599098361),600450,681509
POINT(-1.3587160344 51.7141569259),407000,688036
POINT(-1.2702172753 51.7807889233),1650000,695719
POINT(-1.2454866226 51.6015129397),327000,696591
POINT(-1.6262330496 51.9141345534),665000,722538
POINT(-1.1321671064 51.5979341766),367000,723789
POINT(-1.3916549236 51.8212565879),389500,727814
POINT(-0.9923224114 51.4569314856),337500,734980
POINT(-1.4809115491 51.8731237037),530000,738931
POINT(-1.3228459853 51.627933729),505000,2584
POINT(-1.214789708 51.772141853),1320000,3513
POINT(-1.2700657538 51.8557575928),695000,8276
POINT(-1.1528595231 51.5294063077),2060000,8977
POINT(-0.9032505164 51.7083972865),678000,10583
POINT(-1.3550310888 52.0510451068),700000,10702
POINT(-1.3216748122 52.0137434423),548600,13722
POINT(-1.4341453919 51.5965749257),540000,13731
POINT(-0.9091428275 51.5264686202),1625000,18086
POINT(-1.3681649332 51.9913627715),720000,19387
POINT(-1.5413288004 51.9454020409),269000,27196
POINT(-1.1758649814 51.8976102202),585000,31349
POINT(-1.2947906463 51.5682172566),770000,33539
POINT(-1.1416297807 51.6022118022),691000,34060
POINT(-1.5769391349 51.7676814157),445885,37327
POINT(-1.5544912138 51.7942487088),654196,38159
POINT(-1.2327726579 51.5659765478),1037500,44099
POINT(-1.2735595845 51.7893064499),745000,48392
POINT(-1.4252529417 51.5850764057),815000,52136
POINT(-1.2936401366 51.6294524008),472500,54731
POINT(-1.3149462577 51.7399492141),1050000,56470
POINT(-0.9780503548 51.4850429043),1050000,58773
POINT(-1.4756142618 51.8427275936),990000,59380
POINT(-1.3120590428 51.9308442828),975000,62489
POINT(-1.2428983674 51.7682980774),685000,65667
POINT(-1.5811119813 51.6486410815),455000,65991
POINT(-1.0277271842 51.5511502906),1200000,67048
POINT(-0.964518932 51.4879454665),700000,68995
POINT(-1.1449114154 51.8829043852),477000,69801
POINT(-1.2066109832 51.7690927753),772500,73792
POINT(-1.2877271832 51.6859916373),995000,76106
POINT(-1.2607266238 51.5975275752),555000,76338
POINT(-1.1348005145 51.7456849898),595000,77967
POINT(-1.2943346525 51.7838222588),2400000,81562
POINT(-1.3071755128 52.023252389),640000,86515
POINT(-0.9746658395 51.6799993383),765000,88211
POINT(-0.9812649494 51.4777964048),1090000,96654
POINT(-1.1505553018 51.5749959482),815000,96741
POINT(-1.6239602038 51.9129674702),900000,99648
POINT(-1.2345225641 51.729688653),944000,100191
POINT(-1.4518094804 51.6474881969),835000,102350
POINT(-1.5089978934 51.7881868124),640000,102389
POINT(-1.3986379925 51.6320321929),610000,102623
POINT(-1.3193072755 51.6278863307),840000,104585
POINT(-1.2694490653 51.6018981014),630000,106801
POINT(-1.35712098 52.0527647901),422000,108959
POINT(-1.0812681619 51.5638730897),595000,113360
POINT(-0.9788802937 51.513005936),625000,114746
POINT(-1.2623098881 51.9136127126),518000,116799
POINT(-1.4755882077 51.8737294791),607500,122503
POINT(-0.9131744696 51.5266589086),950000,126175
POINT(-1.1404923249 51.6028059273),625000,129325
POINT(-0.9764626382 51.7382000249),915000,132829
POINT(-1.5991168929 51.8504962847),1100000,135631
POINT(-1.2599944549 51.5777233787),670000,136750
POINT(-0.9513712027 51.475302511),570000,137195
POINT(-1.2361175703 51.7398592986),1150000,137658
POINT(-1.5172700136 51.6078529394),740000,141043
POINT(-1.2175560195 51.7563174777),1375000,144024
POINT(-1.2921035236 51.8207901925),859000,145064
POINT(-1.3267274152 52.0635189345),118625,160163
POINT(-1.1423847495 51.8851248241),255500,160804
POINT(-0.9617494074 51.4570331121),368950,167147
POINT(-1.3242270535 51.9806624284),155000,171930
POINT(-1.2472678813 51.6055616019),125000,176749
POINT(-1.2142005171 51.7317664628),150000,176756
POINT(-1.48520306 51.7833913191),158000,183113
POINT(-1.478117306 51.7919197633),170000,200929
POINT(-0.9804327065 51.7458414921),225000,210121
POINT(-1.1507093544 51.9075285326),194500,210931
POINT(-1.1083835499 51.6217729119),197000,212164
POINT(-1.3598331842 52.0793208142),215000,217446
POINT(-1.4876231141 51.7783487917),255000,217667
POINT(-1.2239450908 51.613295597),162000,220861
POINT(-0.9795048191 51.4559842755),240000,222747
POINT(-1.1544550166 51.7659147836),245000,228603
POINT(-0.9010408469 51.5354838565),1275000,253268
POINT(-1.4814609214 51.7886257818),218000,256296
POINT(-1.2082608169 51.7261339884),223500,256660
POINT(-1.2418827317 51.6861457317),262500,257819
POINT(-1.3433550822 51.6673520445),124950,272763
POINT(-1.1935650491 51.7676282666),235000,277953
POINT(-1.2769137934 51.6828325884),198000,285725
POINT(-0.9952457616 51.5322278575),1475000,291146
POINT(-1.254746052 51.9252625893),31500000,292064
POINT(-1.3666277153 51.7943216379),7299078,302007
POINT(-1.1606381501 51.6104686157),1290000,306340
